,Arrival Time,Inter Arrival Time(in minutes),Rounded_Inter_Arrival_Time(min),Time Period,No. of Patients,Arrival_Cumulative,Patients arrival per minutes,Time(According to collecting system length (n),Time Interval,LAMBDA,,Sl. No.,Service Time (IN),Service Time (OUT),AM/PM,Inter-Service Time (In Minutes),Time Period,No. of Patients,No. of Patients Per min.,No. of patients (Cumulative)= Y(t),Time (According to the collection of system length n),Time Interval,Mu,,Time,Queue 1,Queue 2,Queue 3,Queue 4,System Length(n),Total Queue Length,,,,,,time,Patients,t (min),Cumulative Patients  N(t),lambda(t) = N(t)/t,Expected Lambda,lam,, Time Interval,Patients,Patients Interval,Frequency,Cumulative Patients,#############,Service Rate on time,,
120,9:17:15,0.366666667,0.3667,,,,,,,,,120,9:57:00,9:58:00,AM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,9:17:21,0.1,0.1,,,,,,,,,121,9:58:00,9:59:00,AM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,9:17:34,0.216666667,0.2167,,,,,,,,,122,9:58:00,9:59:00,AM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,9:17:48,0.233333333,0.2333,,,,,,,,,123,9:59:00,10:00:00,AM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,9:17:56,0.133333333,0.1333,,,,,,,,,124,9:59:00,10:00:00,AM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,9:18:19,0.383333333,0.3833,,,,,,,,,125,10:00:00,10:00:40,AM,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,9:18:36,0.283333333,0.2833,,,,,,,,,126,10:00:50,10:02:00,AM,1.167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,9:18:54,0.3,0.3,,,,,,,,,127,10:01:00,10:02:00,AM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,9:19:12,0.3,0.3,,,,,,,,,128,10:02:00,10:04:00,AM,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,9:19:24,0.2,0.2,,,,,,,,,129,10:02:00,10:04:00,AM,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,9:19:36,0.2,0.2,,,,,,,,,130,10:04:00,10:04:50,AM,0.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,9:19:42,0.1,0.1,,,,,,,,,131,10:04:00,10:06:00,AM,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,9:19:55,0.216666667,0.2167,,,,,,,,,132,10:05:00,10:06:00,AM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,9:20:21,0.433333333,0.4333,,,,,,,,,133,10:06:00,10:07:00,AM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,9:20:37,0.266666667,0.2667,,,,,,,,,134,10:06:00,10:07:00,AM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,9:20:49,0.2,0.2,,,,,,,,,135,10:07:00,10:08:00,AM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,9:21:11,0.366666667,0.3667,,,,,,,,,136,10:07:00,10:08:00,AM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,9:21:25,0.233333333,0.2333,,,,,,,,,137,10:08:00,10:09:00,AM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,9:21:32,0.116666667,0.1167,,,,,,,,,138,10:08:00,10:09:00,AM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,9:21:44,0.2,0.2,,,,,,,,,139,10:09:00,10:12:00,AM,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,9:21:58,0.233333333,0.2333,,,,,,,,,140,10:09:00,10:12:00,AM,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,9:22:12,0.233333333,0.2333,,,,,,,,,141,10:12:00,10:13:00,AM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,9:22:19,0.116666667,0.1167,,,,,,,,,142,10:12:00,10:13:00,AM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,9:22:30,0.183333333,0.1833,,,,,,,,,143,10:13:00,10:14:00,AM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,9:22:40,0.166666667,0.1667,,,,,,,,,144,10:13:00,10:14:00,AM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,9:22:50,0.166666667,0.1667,,,,,,,,,145,10:14:00,10:15:00,AM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,9:22:54,0.066666667,0.0667,,,,,,,,,146,10:13:00,10:15:00,AM,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,9:23:20,0.433333333,0.4333,,,,,,,,,147,10:13:00,10:14:00,AM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,9:23:28,0.133333333,0.1333,,,,,,,,,148,10:14:00,10:15:00,AM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,9:23:35,0.116666667,0.1167,,,,,,,,,149,10:13:00,10:15:00,AM,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,9:23:38,0.05,0.05,,,,,,,,,150,10:14:00,10:15:00,AM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,9:23:42,0.066666667,0.0667,,,,,,,,,151,10:53:00,10:54:00,AM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,9:23:50,0.133333333,0.1333,,,,,,,,,152,10:53:00,10:55:00,AM,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,9:23:59,0.15,0.15,,,,,,,,,153,10:54:00,10:56:00,AM,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,9:24:08,0.15,0.15,,,,,,,,,154,10:55:00,10:56:00,AM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,9:24:18,0.166666667,0.1667,,,,,,,,,155,10:56:00,10:57:00,AM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,9:24:29,0.183333333,0.1833,,,,,,,,,156,10:56:00,10:57:00,AM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,9:24:38,0.15,0.15,,,,,,,,,157,10:57:00,10:58:00,AM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,9:24:50,0.2,0.2,,,,,,,,,158,10:58:00,10:59:00,AM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,9:25:12,0.366666667,0.3667,,,,,,,,,159,10:58:00,11:00:00,AM,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,9:25:26,0.233333333,0.2333,,,,,,,,,160,10:59:00,11:01:00,AM,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,9:25:35,0.15,0.15,,,,,,,,,161,11:00:00,11:00:30,AM,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,9:25:48,0.216666667,0.2167,,,,,,,,,162,11:00:30,11:02:00,AM,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,9:26:02,0.233333333,0.2333,,,,,,,,,163,11:01:00,11:03:00,AM,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,9:26:12,0.166666667,0.1667,,,,,,,,,164,11:02:00,11:03:00,AM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,9:26:21,0.15,0.15,,,,,,,,,165,11:03:00,11:04:00,AM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,9:26:30,0.15,0.15,,,,,,,,,166,11:03:00,11:05:00,AM,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,9:26:39,0.15,0.15,,,,,,,,,167,11:04:00,11:05:00,AM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,9:26:44,0.083333333,0.0833,,,,,,,,,168,11:05:00,11:06:00,AM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,9:26:57,0.216666667,0.2167,,,,,,,,,169,11:05:00,11:06:00,AM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,9:27:05,0.133333333,0.1333,,,,,,,,,170,11:06:00,11:07:00,AM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,9:27:12,0.116666667,0.1167,,,,,,,,,171,11:06:00,11:08:00,AM,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,9:27:18,0.1,0.1,,,,,,,,,172,11:07:00,11:08:00,AM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,9:27:25,0.116666667,0.1167,,,,,,,,,173,11:08:00,11:09:00,AM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,9:27:30,0.083333333,0.0833,,,,,,,,,174,11:08:00,11:09:00,AM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,9:27:36,0.1,0.1,,,,,,,,,175,11:09:00,11:10:00,AM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,9:27:40,0.066666667,0.0667,,,,,,,,,176,11:09:00,11:10:00,AM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,9:27:46,0.1,0.1,,,,,,,,,177,11:10:00,11:11:00,AM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,9:27:50,0.066666667,0.0667,,,,,,,,,178,11:10:00,11:12:00,AM,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,9:27:58,0.133333333,0.1333,,,,,,,,,179,11:11:00,11:12:00,AM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,9:28:12,0.233333333,0.2333,,,,,,,,,180,11:12:00,11:13:00,AM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,9:28:17,0.083333333,0.0833,,,,,,,,,181,11:12:00,11:13:00,AM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,9:28:24,0.116666667,0.1167,,,,,,,,,182,11:13:00,11:15:00,AM,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,9:28:29,0.083333333,0.0833,,,,,,,,,183,11:13:00,11:15:00,AM,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,9:28:35,0.1,0.1,,,,,,,,,184,11:15:00,11:16:00,AM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,9:28:40,0.083333333,0.0833,,,,,,,,,185,11:15:00,11:16:00,AM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,9:28:46,0.1,0.1,,,,,,,,,186,11:16:00,11:17:00,AM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,9:28:57,0.183333333,0.1833,,,,,,,,,187,11:16:00,11:17:00,AM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,9:29:09,0.2,0.2,,,,,,,,,188,11:17:00,11:18:00,AM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,9:29:17,0.133333333,0.1333,,,,,,,,,189,11:17:00,11:18:00,AM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,9:29:26,0.15,0.15,,,,,,,,,190,11:18:00,11:19:00,AM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,9:29:33,0.116666667,0.1167,,,,,,,,,191,11:18:00,11:19:00,AM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,9:29:41,0.133333333,0.1333,,,,,,,,,192,11:19:00,11:20:00,AM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,9:29:53,0.2,0.2,,,,,,,,,193,11:19:00,11:21:00,AM,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,9:30:10,0.283333333,0.2833,,,,,,,,,194,11:20:00,11:22:00,AM,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,9:30:18,0.133333333,0.1333,,,,,,,,,195,11:21:00,11:22:00,AM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,9:30:21,0.05,0.05,,,,,,,,,196,11:22:00,11:23:00,AM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,9:30:26,0.083333333,0.0833,,,,,,,,,197,11:22:00,11:24:00,AM,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,9:30:30,0.066666667,0.0667,,,,,,,,,198,11:23:00,11:25:00,AM,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,9:30:35,0.083333333,0.0833,,,,,,,,,199,11:24:00,11:26:00,AM,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,9:30:39,0.066666667,0.0667,,,,,,,,,200,11:26:00,11:28:00,AM,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,9:30:42,0.05,0.05,,,,,,,,,201,11:27:00,11:28:00,AM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,9:30:48,0.1,0.1,,,,,,,,,202,11:28:00,11:29:00,AM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,9:30:51,0.05,0.05,,,,,,,,,203,11:29:00,11:30:00,AM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,9:30:57,0.1,0.1,,,,,,,,,204,11:29:30,11:30:00,AM,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,9:31:18,0.35,0.35,,,,,,,,,205,12:30:00,12:31:00,PM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,9:31:26,0.133333333,0.1333,,,,,,,,,206,12:30:00,12:32:00,PM,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,9:31:33,0.116666667,0.1167,,,,,,,,,207,12:31:00,12:33:00,PM,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,9:31:50,0.283333333,0.2833,,,,,,,,,208,12:32:00,12:33:00,PM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,9:32:16,0.433333333,0.4333,,,,,,,,,209,12:33:00,12:34:00,PM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,9:32:24,0.133333333,0.1333,,,,,,,,,210,12:33:00,12:35:00,PM,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,9:32:36,0.2,0.2,,,,,,,,,211,12:34:00,12:35:00,PM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,9:32:52,0.266666667,0.2667,,,,,,,,,212,12:35:00,12:37:00,PM,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,9:33:09,0.283333333,0.2833,,,,,,,,,213,12:35:00,12:37:00,PM,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,9:33:15,0.1,0.1,,,,,,,,,214,12:37:00,12:38:00,PM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,9:33:20,0.083333333,0.0833,,,,,,,,,215,12:38:00,12:39:00,PM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,9:33:28,0.133333333,0.1333,,,,,,,,,216,12:39:00,12:40:00,PM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,9:33:35,0.116666667,0.1167,,,,,,,,,217,12:40:00,12:41:00,PM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,9:33:43,0.133333333,0.1333,,,,,,,,,218,12:40:00,12:42:00,PM,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,9:33:57,0.233333333,0.2333,,,,,,,,,219,12:41:00,12:42:00,PM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,9:34:07,0.166666667,0.1667,,,,,,,,,220,12:42:00,12:43:00,PM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,9:34:16,0.15,0.15,,,,,,,,,221,12:42:00,12:44:00,PM,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,9:34:22,0.1,0.1,,,,,,,,,222,12:43:00,12:45:00,PM,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,9:34:26,0.066666667,0.0667,,,,,,,,,223,12:44:00,12:45:00,PM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,9:34:30,0.066666667,0.0667,,,,,,,,,224,12:44:30,12:45:00,PM,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,9:34:39,0.15,0.15,,,,,,,,,225,12:45:00,12:46:00,PM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,9:34:47,0.133333333,0.1333,,,,,,,,,226,12:45:00,12:46:00,PM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,9:34:58,0.183333333,0.1833,,,,,,,,,227,12:46:00,12:47:00,PM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,9:35:17,0.316666667,0.3167,,,,,,,,,228,12:46:00,12:48:00,PM,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,9:35:28,0.183333333,0.1833,,,,,,,,,229,12:47:00,12:49:00,PM,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,9:35:39,0.183333333,0.1833,,,,,,,,,230,12:48:00,12:49:00,PM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,9:35:47,0.133333333,0.1333,,,,,,,,,231,12:50:00,12:51:00,PM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,9:36:05,0.3,0.3,,,,,,,,,232,12:50:00,12:51:00,PM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,9:36:11,0.1,0.1,,,,,,,,,233,12:51:00,12:52:00,PM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,9:36:20,0.15,0.15,,,,,,,,,234,12:51:00,12:53:00,PM,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,9:36:29,0.15,0.15,,,,,,,,,235,12:52:00,12:55:00,PM,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,9:36:36,0.116666667,0.1167,,,,,,,,,236,12:53:00,12:54:00,PM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,9:36:40,0.066666667,0.0667,,,,,,,,,237,12:55:00,12:56:00,PM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,9:36:49,0.15,0.15,,,,,,,,,238,12:54:00,12:56:00,PM,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,9:36:56,0.116666667,0.1167,,,,,,,,,239,12:56:00,12:57:00,PM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,9:37:12,0.266666667,0.2667,,,,,,,,,240,12:56:00,12:58:00,PM,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,9:37:20,0.133333333,0.1333,,,,,,,,,241,12:57:00,12:59:00,PM,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,9:37:26,0.1,0.1,,,,,,,,,242,12:58:00,13:00:00,PM,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243,9:37:30,0.066666667,0.0667,,,,,,,,,243,13:00:00,13:01:00,PM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,9:37:34,0.066666667,0.0667,,,,,,,,,244,13:00:00,13:02:00,PM,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,9:37:39,0.083333333,0.0833,,,,,,,,,245,13:01:00,13:03:00,PM,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,9:37:43,0.066666667,0.0667,,,,,,,,,246,13:02:00,13:03:00,PM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,9:37:49,0.1,0.1,,,,,,,,,247,13:03:00,13:04:00,PM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,9:37:51,0.033333333,0.0333,,,,,,,,,248,13:03:00,13:05:00,PM,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,9:37:59,0.133333333,0.1333,,,,,,,,,249,13:04:00,13:06:00,PM,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,9:38:13,0.233333333,0.2333,,,,,,,,,250,13:05:00,13:06:00,PM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,9:38:20,0.116666667,0.1167,,,,,,,,,251,13:06:00,13:07:00,PM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,9:38:30,0.166666667,0.1667,,,,,,,,,252,13:06:00,13:08:00,PM,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,9:38:43,0.216666667,0.2167,,,,,,,,,253,13:07:00,13:09:00,PM,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,9:38:49,0.1,0.1,,,,,,,,,254,13:08:00,13:09:00,PM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255,9:38:51,0.033333333,0.0333,,,,,,,,,255,13:09:00,13:09:40,PM,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,9:38:59,0.133333333,0.1333,,,,,,,,,256,13:09:50,13:11:00,PM,1.167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,9:39:10,0.183333333,0.1833,,,,,,,,,257,13:09:00,13:10:00,PM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,9:39:17,0.116666667,0.1167,,,,,,,,,258,13:11:00,13:12:00,PM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
259,9:39:23,0.1,0.1,,,,,,,,,259,13:10:00,13:12:00,PM,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
260,9:39:29,0.1,0.1,,,,,,,,,260,13:12:00,13:13:00,PM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261,9:39:35,0.1,0.1,,,,,,,,,261,13:13:00,13:14:00,PM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
262,9:39:40,0.083333333,0.0833,,,,,,,,,262,13:14:00,13:15:00,PM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263,9:39:47,0.116666667,0.1167,,,,,,,,,263,13:14:30,13:15:00,PM,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
264,9:39:54,0.116666667,0.1167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265,9:40:10,0.266666667,0.2667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266,9:40:17,0.116666667,0.1167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267,9:40:26,0.15,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
268,9:40:36,0.166666667,0.1667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
269,9:40:47,0.183333333,0.1833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270,9:40:56,0.15,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
271,9:41:07,0.183333333,0.1833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272,9:41:12,0.083333333,0.0833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
273,9:41:19,0.116666667,0.1167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
274,9:41:24,0.083333333,0.0833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
275,9:41:30,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276,9:41:37,0.116666667,0.1167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
277,9:41:43,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
278,9:41:49,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
279,9:41:58,0.15,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280,9:42:04,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,9:42:10,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
282,9:42:16,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,9:42:20,0.066666667,0.0667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
284,9:42:24,0.066666667,0.0667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
285,9:42:29,0.083333333,0.0833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
286,9:42:32,0.05,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
287,9:42:39,0.116666667,0.1167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
288,9:42:46,0.116666667,0.1167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
289,9:42:58,0.2,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
