,Arrival Time,Inter Arrival Time(in minutes),Rounded_Inter_Arrival_Time(min),Time Period,No. of Patients,Arrival_Cumulative,Patients arrival per minutes,Time(According to collecting system length (n),Time Interval,LAMBDA,,Sl. No.,Service Time (IN),Service Time (OUT),AM/PM,Inter-Service Time (In Minutes),Time Period,No. of Patients,No. of Patients Per min.,No. of patients (Cumulative)= Y(t),Time (According to the collection of system length n),Time Interval,Mu,,Time,Queue 1,Queue 2,Queue 3,Queue 4,System Length(n),Total Queue Length,,,,,,time,Patients,t (min),Cumulative Patients  N(t),lambda(t) = N(t)/t,Expected Lambda,lam,, Time Interval,Patients,Patients Interval,Frequency,Cumulative Patients,#############,Service Rate on time,,
16,8:43:50,0.233333333,0.2333,12:35 - 12:45,21,639,2.1,10:10,10:05-10:15,2.7,,16,8:45:00,8:46:00,AM,1,12:35 - 12:45,13,1.3,224,10:10,10:05-10:15,2,,10:10,2,10,12,8,43,32,,,,,,9:50 - 9:55,23,80,350,4.375,2.916666667,1.458333333,,9:50-9:55,8,,,113,80,1.4125,,
17,8:44:12,0.366666667,0.3667,12:45 - 12:55,19,658,1.9,10:15,10:10-10:20,0.8,,17,8:46:00,8:48:00,AM,2,12:45 - 12:55,12,1.2,236,10:15,10:10-10:20,1.2,,10:15,4,8,8,13,46,33,,,,,,9:55 - 10:00,27,85,377,4.435294118,2.956862745,1.478431373,,9:55-10:00,11,,,124,85,1.458823529,,
18,8:44:18,0.1,0.1,12:55 - 13:05,23,681,2.3,10:55,10:50-11:00,5.5,,18,8:46:00,8:49:00,AM,3,12:55 - 13:05,12,1.2,248,10:55,10:50-11:00,0.9,,10:55,9,15,16,30,98,70,,,,,,10:00 - 10:05,15,90,392,4.355555556,2.903703704,1.451851852,,10:00-10:05,6,,,130,90,1.444444444,,
19,8:44:34,0.266666667,0.2667,13:05 - 13:15,9,690,0.9,11:05,11:00-11:10,7.4,,19,8:48:00,8:49:00,AM,1,13:05 - 13:15,15,1.5,263,11:05,11:00-11:10,1.7,,11:05,10,14,15,32,100,71,,,,,,10:05 - 10:10,13,95,405,4.263157895,2.842105263,1.421052632,,10:05-10:10,8,,,138,95,1.452631579,,
20,8:44:56,0.366666667,0.3667,,,,,11:10,11:05-11:15,5.2,,20,8:48:00,8:49:00,AM,1,,,,,11:10,11:05-11:15,1.6,,11:10,13,13,14,23,90,63,,,,,,10:10 - 10:15,14,100,419,4.19,2.793333333,1.396666667,,10:10-10:15,12,,,150,100,1.5,,
21,8:45:20,0.4,0.4,,,,,11:15,11:10-11:20,2.3,,21,8:49:00,8:50:00,AM,1,,,,,11:15,11:10-11:20,1.6,,11:15,7,13,18,30,70,68,,,,,,10:50 - 10:55,19,105,438,4.171428571,2.780952381,1.39047619,,10:50-10:55,2,,,152,105,1.447619048,,
22,8:45:25,0.083333333,0.0833,,,,,11:20,11:15-11:25,2.6,,22,8:49:00,8:50:00,AM,1,,,,,11:20,11:15-11:25,1.5,,11:20,8,14,17,33,90,72,,,,,,10:55 - 11:00,32,110,470,4.272727273,2.848484849,1.424242424,,10:55-11:00,7,,,159,110,1.445454545,,
23,8:45:36,0.183333333,0.1833,,,,,11:25,11:20-11:30,2.2,,23,8:50:00,8:51:00,AM,1,,,,,11:25,11:20-11:30,1.2,,11:25,7,15,16,35,100,73,,,,,,11:00 - 11:05,27,115,497,4.32173913,2.88115942,1.44057971,,11:00-11:05,8,,,167,115,1.452173913,,
24,8:45:40,0.066666667,0.0667,,,,,11:30,11:25-11:35,1.5,,24,8:50:00,8:52:00,AM,2,,,,,11:30,11:25-11:35,0.6,,11:30,8,14,18,33,105,73,,,,,,11:05 - 11:10,46,120,543,4.525,3.016666667,1.508333333,,11:05-11:10,9,,,176,120,1.466666667,,
25,8:45:55,0.25,0.25,,,,,12:30,12:25-12:35,2.1,,25,8:51:00,8:52:00,AM,1,,,,,12:30,12:25-12:35,0.7,,12:30,6,15,19,30,103,70,,,,,,11:10 - 11:15,12,125,555,4.44,2.96,1.48,,11:10-11:15,7,,,183,125,1.464,,
26,8:46:26,0.516666667,0.5167,,,,,12:35,12:30-12:40,2.7,,26,8:52:00,8:53:00,AM,1,,,,,12:35,12:30-12:40,1.2,,12:35,8,18,16,32,100,74,,,,,,11:15 - 11:20,13,130,568,4.369230769,2.912820513,1.456410256,,11:15-11:20,9,,,192,130,1.476923077,,
27,8:46:44,0.3,0.3,,,,,12:40,12:35-12:45,1.8,,27,8:52:00,8:53:00,AM,1,,,,,12:40,12:35-12:45,1.3,,12:40,7,17,18,32,75,74,,,,,,11:20 - 11:25,13,135,581,4.303703704,2.869135803,1.434567901,,11:20-11:25,6,,,198,135,1.466666667,,
28,8:47:46,1.033333333,1.0333,,,,,12:45,12:40-12:50,1.9,,28,8:51:00,8:53:00,AM,2,,,,,12:45,12:40-12:50,1.4,,12:45,7,16,17,31,80,71,,,,,,11:25 - 11:30,18,140,599,4.278571429,2.852380953,1.426190476,,11:25-11:30,6,,,204,140,1.457142857,,
29,8:48:12,0.433333333,0.4333,,,,,12:50,12:45-12:55,2.2,,29,8:53:00,8:55:00,AM,2,,,,,12:50,12:45-12:55,1.2,,12:50,8,16,18,33,70,75,,,,,,12:30 - 12:35,17,145,616,4.248275862,2.832183908,1.416091954,,12:30-12:35,7,,,211,145,1.455172414,,
30,8:48:30,0.3,0.3,,,,,12:55,12:50-13:00,2.8,,30,8:52:00,8:54:00,AM,2,,,,,12:55,12:50-13:00,1.2,,12:55,6,15,17,30,50,68,,,,,,12:35 - 12:40,10,150,626,4.173333333,2.782222222,1.391111111,,12:35-12:40,5,,,216,150,1.44,,
31,8:48:54,0.4,0.4,,,,,13:00,12:55-13:05,2.2,,31,8:55:00,8:56:00,AM,1,,,,,13:00,12:55-13:05,1.2,,13:00,7,15,18,29,75,69,,,,,,12:40 - 12:45,11,155,637,4.109677419,2.739784946,1.369892473,,12:40-12:45,8,,,224,155,1.44516129,,
32,8:49:09,0.25,0.25,,,,,13:05,13:00-13:10,1.3,,32,8:55:00,8:57:00,AM,2,,,,,13:05,13:00-13:10,1.5,,13:05,5,9,12,16,60,42,,,,,,12:45 - 12:50,10,160,647,4.04375,2.695833333,1.347916667,,12:45-12:50,6,,,230,160,1.4375,,
33,8:49:25,0.266666667,0.2667,,,,,13:10,13:05-13:15,0.6,,33,8:57:00,8:58:00,AM,1,,,,,13:10,13:05-13:15,1.5,,13:10,12,8,15,20,70,55,,,,,,12:50 - 12:55,9,165,656,3.975757576,2.650505051,1.325252525,,12:50-12:55,6,,,236,165,1.43030303,,
34,8:49:37,0.2,0.2,,,,,,,,,34,8:57:00,8:59:00,AM,2,,,,,,,,,,,,,,,,,,,,,12:55 - 13:00,15,170,671,3.947058824,2.631372549,1.315686275,,12:55-13:00,6,,,242,170,1.423529412,,
35,8:49:48,0.183333333,0.1833,,,,,,,,,35,8:56:00,8:58:00,AM,2,,,,,,,,,,,,,,,,,,,,,13:00 - 13:05,8,175,679,3.88,2.586666667,1.293333333,,13:00-13:05,6,,,248,175,1.417142857,,
36,8:50:10,0.366666667,0.3667,,,,,,,,,36,8:58:00,8:59:00,AM,1,,,,,,,,,,,,,,,,,,,,,13:05 - 13:10,9,180,688,3.822222222,2.548148148,1.274074074,,13:05-13:10,8,,,256,180,1.422222222,,
37,8:50:19,0.15,0.15,,,,,,,,,37,8:59:00,9:00:00,AM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:10-13:15,7,,,263,185,1.421621622,,
38,8:50:29,0.166666667,0.1667,,,,,,,,,38,8:59:00,9:01:00,AM,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,8:50:34,0.083333333,0.0833,,,,,,,,,39,9:00:00,9:01:00,AM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,8:50:40,0.1,0.1,,,,,,,,,40,9:01:00,9:02:00,AM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,8:50:49,0.15,0.15,,,,,,,,,41,9:01:00,9:03:00,AM,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,8:50:58,0.15,0.15,,,,,,,,,42,9:01:00,9:03:00,AM,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
